SÕNA,DEFINITSIOON,TASE
festival,perioodiliselt korraldatav pidulik kunstisaavutuste ülevaatus või konkurss,A2
figureerima,esinema,B2
figuur,väline kehavorm või ehitus,B2
fikseerima,kindlaid norme või reegleid kehtestama,B2
filiaal,"asutuse, ettevõtte või organisatsiooni osakond väljaspool tema põhitegevuskohta, haruosakond, -asutus",B2
film,õhukese painduva atsetüültselluloosist põhimikuga lindi- või lehekujuline fotomaterjal,A1
filmima,filmiülesvõtteid tegema,B1
filoloog,"filoloogia eriala lõpetanud spetsialist, filoloogia ala asjatundja",B2
filosoof,"filosoofiaga tegelev teadlane või mõtisklevalt, juurdlevalt ellu suhtuv inimene",B2
filosoofiline,"mingit sügavat ideed, maailmavaatelist kontseptsiooni sisaldav",B2
filter,vahend tahkete osakeste eraldamiseks vedelikest või gaasidest,B2
finaal,sportlaste või võistkondade lõppvõistlus võitja selgitamiseks,B1
finalist,finaali pääsenu,B2
flööt,"õrna puhta kõla ja kõrge heliulatusega puupuhkpill, mida mängitakse küljel asetseva aukhuuliku kaudu",B1
folkloor,"laiemalt ka rahvamuusika, -tants ja muu vaimne looming",B2
formaalselt,ametlikul ja jahedal viisil,B2
formuleerima,"lühidalt ja täpselt mõtet väljendama, oma mõtteid sõnadesse panema",B2
frikadell,väike hakklihapall,B1
fuajee,"jalutusruum teatris, kinos vm",B2
füsioloogiline,organismi talitlusega seotud,B2
füüsika,"teadus, mis käsitleb mateeria kõige üldisemaid omadusi, ehitust ja liikumise peamisi vorme, seoseid ning seadusi",B1
füüsikaline,füüsikasse kuuluv või puutuv,B2
füüsiline,inimese organismisse puutuv,B1
füüsiliselt,inimese organismisse puutuvana,B2
gaas,väga kerge poolläbipaistev siidriie,A2
galerii,"ruum või ehitis kunsti-, eriti maalikogu jaoks",B1
garderoob,riietusruum,A2
geen,"desoksüribonukleiinhappe molekuli osa, pärilikkuse algüksus",B2
geneetiline,pärilikkusest tingitud või sõltuv,B2
geniaalne,"erakordselt andekas, väga suurte võimetega",B2
geograafia,"teadus, mis uurib Maa pinda ning looduslikke tingimusi, samuti tootmise paigutust ja iseärasusi eri maades ja piirkondades",B1
geoloogiline,Maa ehitust ja ajalugu käsitlev,B2
geomeetriline,ruumiliste vormidega seotud,B2
golf,"eriti Suurbritannias, USA-s ja Austraalias levinud pallimäng, kus looduslikul väljakul kepilöökidega aetav pall peab maanduma lipuga tähistatud aukudes",B2
grammatika,keele grammatilist ehitust uuriv keeleteaduse haru,A1
grimass,"näomoonutis, näovigur",B2
gripp,"äge viiruseline nakkushaigus palaviku ja mitmesuguste haigusnähtudega hingamiselundeis, närvisüsteemis ja mujal",B1
grupp,"suvaline arv asju, olendeid või nähtusi tervikuna",A1
haarama,millestki kinni võtma või selleks mõeldud liigutust tegema,B2
haare,millegi ulatuse või kehtivuse määr,B2
habe,mehe näo alaosa karvkate,A2
habras,ehituselt nõrk või õrn,C1
haige,"mingit haigust põdev, mitteterve inimene",A2
haigus,tervise halvenemine või häire,A2
haigutama,"haigutust, haigutusi tegema",B2
hais,"tugev, ebameeldiv lõhn",B1
haisema,haisu eritama ning levitama,B2
hajutama,laiali paigutama,C1
hakkama,midagi parendama,A1
halastama,häda leevendama,B2
halb,"oma laadilt, omaduste poolest nõuetele mittevastav, mittekvaliteetne, ebarahuldav",B1
haldjas,"looduses, elamus või muu valitsev kujuteldav üleloomulik olend",B2
hall,värvuselt musta ja valge vahepealne,A1
hallitus,seeneniidistiku kiht kõduneval orgaanilisel ainel või kehal,B2
halvama,halvatust tekitama,B2
halvasti,"korrast ära, hrl seisundi või asjaolude kohta",A2
halvemini,rohkem halvasti,B1
hammas,moodustis inimese või looma suuõõnes toidu haaramiseks ning peenestamiseks ja ka hammustamiseks,A1
hammustama,"hammastega millestki tükki, pala eraldama ja",B1
hankima,"midagi vajalikku, nõutavat kättesaadavaks tegema",B1
hantel,kahest metallkerast või -kettast ja neid ühendavast käepidemest spordivahend käte ja õlavöö treenimiseks,B2
hape,"keemiline ühend, mis on hapuka maitsega ja mis muudab lakmuse punaseks ja mis reageerib alusega, moodustades soola",B2
hapu,"maitselt jõhvikatele, sidrunitele, äädikale või muu sellise iseloomulik",B1
hapukas,"kergelt, veidi hapu",B2
hapukurk,hapendatud kurk,A2
harakas,musta-valge sulestikuga ja pika sabaga lind,B1
hargnema,"haru moodustama, eri haruna algama ja kulgema",B2
hari,"puhastamiseks, sugemiseks või muu sellise kasutatav harjastega ese",A2
harima,"puhtaks tegema, puhastama, kasima",B1
harjuma,"mingi tegevuse kordamisel või millegi korduval kogemisel selles harjumust, vajalikke oskusi ja kogemusi omandama, viluma",B1
harjumuspärane,"kindlaks kujunenud, selline, millega ollakse harjunud",B2
harjutus,kehaliste võimete arendamiseks liigutuste üksikjuhtum,A2
harmoonia,meeldiv kombinatsioon muusikalistes helides,B2
harrastama,"millegi vastu püsivalt huvi tundma, mingil huvialal innukalt tegutsema",B1
haru,mingist tervikust hargnev suhteliselt iseseisev osa,B2
harukordne,"oma harva esinemissageduse poolest eriline või tähelepanuväärne, väga harva esinev",B2
harutama,"sõlmest, õmblusest, koest või muu sellise lahti päästma, hargnema panema",C1
harva,ajaliselt pikema perioodi tagant toimuvana,A1
haud,"koht surnu matmiseks, harilikult maasse kaevatud süvend",B1
hauduma,"mune soojendama selleks, et loode areneks",C1
haukuma,"pahuralt, häbematult, järsult teisega kõnelema",B1
hautama,toiduaineid tihedalt suletud nõus,C1
hea,"positiivsete eetiliste omadustega, moraalselt väärtuslik",B1
headus,"tunnusjoon , mis teeb millegi või kellegi ihaldatavaks",B2
heakskiit,millegi heaks või õigeks pidamine,B2
heategu,tänu pälviv tegu,B2
heegeldama,heegelnõelaga niidist või lõngast silmuselist kudet tegema,B2
heeringas,põhjapoolseis ookeanivetes ja meredes parvedena elutsev 30--40 cm pikkune kala,B1
heide,üks heitmise juhtum,B2
heiskama,üles tõmbama,B2
heitlema,endale mõju avaldama v pingutama,C1
heitma,endast välja saatma või kiirgama,B1
helde,"nii iseloomustatakse inimest, kes annab ja jagab hea meelega teistele enda omandit",C1
helendama,"heledana paistma, heledana särama",B2
heli,"akustiline nähtus, mida tekitab heliallika ühtlane perioodiline võnkumine, teatava kindla kõrgusega toon erinevalt mürast",B1
helistama,kellahelinaga märku andma,A1
helkur,valguse tagasipeegeldaja,B1
hellitama,"tähelepanu, õrnusavaldustega ümbritsema või üle külvama",B2
higistama,higi eritama,B1
hiilima,"salamisi, märkamatult liginema või eemalduma",B2
hiline,"ajaliselt lõpul, möödunud",B1
hilinema,liiga hilja midagi tegema,B1
hilja,hilisel kellaajal,A1
hiljaaegu,eelnenud pikema ajavahemiku jooksul,B2
hiljem,kõnehetkele järgneval ajavahemikul,A2
hiljemalt,mitte hiljem kui,B2
himu,"kirglik soov, kange tahtmine, sisemine sund midagi saada või teha",B2
hind,väärtus,A1
hindama,"hinda või rahalist väärtust, samuti millegi suurust, hulka, vanust või muu sellise",A2
hindamatu,"väga väärtuslik või tähtis, selline, mille tähtsust, väärtust on võimatu ülehinnata",B2
hing,õhu kopsudesse tõmbamine ja sealt eemaldamine,A2
hingama,"millestki kõnelema, midagi välja lobisema",A2
hingeldama,"hingama, raskesti hingama",C1
hinnaline,"hinnalt kallis, kalli, kõrge hinnaga",B2
hinnapakkumine,esitama mingi töö oletatavat hinda,B2
hinne,"kellegi teadmiste, oskuste, võimete, töötulemuste hinnang, mida väljendatakse pallides, punktides või muu hindamisühikutes",B1
hirm,"erutusseisund, mida põhjustab selgesti tajutav oht",B1
hirmutama,"hirmu tekitades, ähvardades kedagi midagi tegema panema",B1
hirmutav,"hirmu tekitav, kartma panev",B2
hitt,"väga menukas laul, film, teatrietendus vms teos",B2
hobune,neljajalgne polsterdatud hüppe- ja hooglemisriist,A2
hoiak,"keerukas vaimne orientatsioon, mis hõlmab uskumusi ja tundeid ja väärtushinnanguid ning kalduvust käituda teatud viisil",B1
hoiatus,hoiatav teade,B1
hoidma,"millestki või kellestki kinni pidama, seda haardesse jätma, haardest mitte vabastama",A2
hoiduma,"mingis olukorras, seisundis või asendis olles või sellesse minnes seda olukorda, seisundit või asendit säilitama , end hoidma",B2
hoki,"mõlemas võistkonnas on 6 liiget, kes püüavad spetsiaalse kepiga litrit väravasse lüüa",B1
homme,päevale järgnev päev,A1
hommik,päeva algusosa,A1
hommikuti,päeva esimestes pooltes,B2
hooaeg,"aastast aastasse korduv ajalõik, mil tegeldakse mingi kindla tööga, spordialaga, kunstiga või muu sellise",A2
hoog,liikumise kiirus ja energia,B2
hoogsalt,hoogu sisaldaval või väljendaval moel,B2
hool,kellegi või millegi vajaduste rahuldamine või korras hoidmine,B1
hooldama,millegi või kellegi eest pidevalt sihipäraselt,B2
hoolekanne,"tegevus, mis aitab abi vajavaid inimesi igapäevaelus",C1
hoolitsema,"kellegi või millegi vajadusi rahuldama, kedagi hoolega ümbritsema",A2
hoop,liikuva objekti tugev põrkumine vastu liikumatut või liikuvat objekti,B2
hoov,"tara, müüri või hoonetega piiratud õu, harilikult linnas või alevis",B2
hord,suur korratu hulk inimesi,C1
hotell,võõrastemaja,A2
hukka,"hukatusse, hävingusse",B2
hukkuma,elu kaotama,B1
hukutama,"hukku, hävingusse saatma, viima või ajama",B2
huligaan,avaliku korra tahtlik rikkuja,B2
hulk,"mingis suhtes ühtse rühma moodustav ebamäärane, organiseerimata",A2
hulka,"mingisse rühma, kampa",A2
hulkuma,"logelema, ringi hulkuma",B2
hulluma,"meeletuks, pööraseks muutuma",C1
hundinui,vesistes kohtades kasvav mõõkjate lehtede ja rullitaolise õisikuga,B2
hunnik,suur umbmäärane kogus midagi,B2
hunt,"Euraasia ja Põhja-Ameerika tundra-, stepi-, ja metsavööndi suur kollakashall koerasarnane kiskja",A2
huvi,"tähelepanu, samuti mõtete keskendumine objektile, mida tahetakse omandada või tundma õppida",A1
huviharidus,õpilase huvidele vastav õppetöövaline haridus,B2
huvitama,"huvi pakkuma, tähelepanu köitma",A2
huvituma,huvitatud olema,B2
hõbedane,"hõbedast tehtud, hõbedat sisaldav või hõbedakihiga kaetud",A2
hõiskama,hõiset või hõiskeid kuuldavale tooma,C1
hõivama,"liiklusvahendi hõivamise, selle röövimise kohta",B2
hõivatud,täis tegevust või tööd,B2
hõlbustama,"hõlpsaks tegema, soodustama",B2
hõljuma,"kergelt hällima, kiikuma, õõtsuma, kõikuma",B2
hõõruma,"peale surudes, muljudes edasi-tagasi või ringliigutusi tegema",B2
häda,igasugune lahendust vajav mureküsimus,A2
hädapärane,"niisugune, mis ajab kuidagi asja ära",B2
häll,"mingi nähtuse, juhtumi, sündmuse või muu algaste, algjärk, sünni- või tekkekoht",B2
hämmastama,hämmastust tekitama,B2
hämmastavalt,hämmastust tekitavalt,B2
hästi,"omaduste, laadi poolest hinnatavalt, nõuetele täiesti vastavalt",A1
hävinema,hävima,B2
hävitama,"olematuks tegema, lõppu peale tegema, ära kaotama",B1
hääl,hääletamise teel avaldatud arvamus,A1
hääletama,kellegi või millegi poolt või vastu häält andma,B1
hääletus,hääle puudumine,B1
hüljes,rannalähedastes vetes elutsev ümara silinderja keha ja lühikese ning tiheda karvaga imetaja,B2
hüpe,ühe õhulennuna toimuv keha ümberpaigutumine pärast lahtirebimist mingist tugipunktist,B2
hüppama,hüppega või hüpetega liikuma,A2
hüve,"see, mis on vajalik ja kasulik",B2
hüüatama,korraks järsku hüüdma,B2
ida,idapoolsed maad või alad,A2
idanema,idu välja ajama,C1
idee,mõte,A1
identifitseerima,"identsust kindlaks tegema, kedagi või midagi kellenagi või millenagi ära tundma",B2
ideoloogia,mitmesuguste ideede ning vaadete süsteem,B2
igatahes,öeldut kinnitav väljend,B2
igati,igas suhtes,B1
igatsema,"igatsust tundes midagi soovima, tahtma",B1
igavene,"ajaliselt lõputu, väga pikaajaline",B2
igavesti,ajaliselt lõputult,B2
igavlema,igavust tundma või väljendama,B2
igavus,"tegevusetusest, millegi üksluisusest, vaheldusetusest või huvitusetusest tingitud tüdimustunne",B2
ige,hambakaela ja lõualuu sombuosa kattev limaskest,B2
ikka,kõigil juhtudel,A1
ikoon,infotehnoloogias väike teksti asendav rahvusvaheline piltkujutis kuvaril programmifunktsioonide valimiseks jm,B2
illusioon,"aluseta lootus, täitumatu unistus vms",B2
ilma,vastutasuta,A1
ilmakaar,suund vaatlejast horisondi teatavasse punkti,B1
ilme,"millegi väline laad, iseloomulik või tunnuslik joon",B2
ilmekas,"millekski hästi sobiv, iseloomulik, tabav",B2
ilmselt,"väljendab kinnitust, veendumust",B1
ilmtingimata,rõhutatult: kindlasti,B2
ilmuma,"end ilmutama, näole andma",B1
ilu,"kaunidus, veetlevus",B1
ilusasti,ilusal viisil,B1
ilutsema,ilusana olemas olema või silma paistma,B2
iluvõimlemine,"olümpiamängude programmi kuuluv, kindlate võistlusmääruste alusel toimuv võistlusvõimlemise ala, kus kasutatakse 5 erinevat kindlaksmääratud mõõtmetega võimlemisvahendit",B2
ilves,lühikese sabaga pruunikas kõrgejalgne kaslasest kiskja,A2
ime,"üleloomulik, mõistusega seletamatu või väga üllatav, kummaline, imestust äratav nähtus",B1
imekombel,"nagu ime läbi, kummalisel kombel",B2
imeliselt,"imena tunduval, imepärasel",B2
imema,"alarõhku tekitades või muul teel end kellegi või millegi külge, midagi endasse või kuskilt välja tõmbama",B1
imenduma,läbi rakukihtide verre või lümfi imbuma,B2
imetaja,"selgroogne loom, kelle poegi toidetakse piimaga",B2
imetama,last või noort looma rinnaga toitma,B2
immigrant,"mingile maale alatiseks või pikemaks ajaks elama asunu, sisserännanu",B2
immigratsioon,"sisse rändamine, ühest olukorrast teise siirdumine",B2
impeerium,"suur imperialistlik koloniaalriik, maailmariik",B2
importima,välismaalt sisse vedama,B2
improvisatsioon,spontaanse tegevuse tulemus,B2
improviseerima,"tegema, esitamise ajal looma",B2
indeks,"väikekirjas lisandatav eristav, eriväärtusi märkiv või muu sellise number, täht või muu sümbol",B2
infarkt,vere juurdevoolu lakkamisest tingitud elundi või selle osa kärbus,B2
infektsioon,haigustekitajate tungimine organismi ja sellest põhjustatud protsessid organismis,B2
informeeritus,informeeritud olek,B2
ingliskeelne,inglise keeles kõneldud või kirjutatud,A2
inimkond,kõik Maal elavad inimesed kokku,B2
inimlik,"inimloomusele omane, inimeste seas esinev",B1
inspireerima,"kedagi loominguliselt innustama, inspiratsiooni andma",B2
instinkt,pärilik võime tüüpolukordades ilma individuaalsetele kogemustele toetumiseta otstarbekohaselt tegutseda,B2
instituut,teatava erialade rühma õppeasutus või teatava ala teaduslik uurimisasutus,B1
intellektuaalne,intellektil ja mõistusel rajanev või põhinev,B2
intensiivsus,kõrge kontsentratsioon,B2
interaktiivne,vastastikusel mõjul põhinev,B2
internetipank,"elektrooniline pangakontor, mis võimaldab Interneti vahendusel sooritada pangatehinguid, saada konsultatsioone jms",B1
intervall,"muusikas suurus, mille väärtused iseloomustavad kahe muusikalise heli helikõrguste vahemikke",B2
intervjuu,"küsitlus, usutlus",A2
intriig,tagaselja kellegi vastu tegutsemine,B2
intsident,seik või sündmus,B2
intuitsioon,tõe vaistliku tunnetuse võime,B2
investeerima,kapitali millessegi mahutama,B2
irvitama,selliselt naerdes millestki või kellestki rääkima,C1
isa,meessoost vanem oma lapse või laste suhtes,A1
isamaa,"maa, riik, kust keegi on pärit või mille kodanik ta on",B2
isane,seemnerakke tootvasse sugupoolesse kuuluv,B1
ise,"iseenesest, ilma et keegi seda otseselt põhjustaks",A1
iseenesest,"tegelikult, sellisena nagu ta on",B1
iseloom,"inimese käitumises ja suhtumises ilmnevad põhilised, püsivamad psüühilised omadused",A2
iseloomustama,kellegi või millegi iseloomulikke omadusi või tunnuseid määrama või kirjeldama,B1
isemoodi,"omapärasel, teistest eristuval moel",B2
isiklik,"teatud isikule endale kuuluv, tema tarbeks olev või mõeldud",A2
isiklikult,"isikuna, isikusse puutuvalt",B1
isiksus,"inimese individuaalne olemus või laad, tema käitumist määravate omaduste kogum",B1
istuma,pikemat aega mingis kohas või olukorras viibima,A1
istung,"mingi inimeste rühma kokkutulek ühiste küsimuste arutamiseks, otsuste tegemiseks või ettekannete kuulamiseks",B2
istutama,"taime esialgsest kasvukohast uude, alatisse kasvukohta paigutama",B2
itsitama,"endamisi vaikselt kõhinal, sageli kahjurõõmsalt või pilkavalt naerma",C1
iva,"teravilja seeme, viljatera",B2
jagama,"osadeks, tükkideks või muu tegema, liigitama",A2
jah,"kasutatakse mingi väite kinnitamisel, rõhutamisel",A1
jahe,külmavõitu,A2
jahimees,"jahil käiv isik, jahiga tegeleja",B1
jahtima,jahti pidama,B2
jahutama,"tugevust, intensiivsust vähendama",B2
jahvatama,"alatasa närima, alatasa närides sööma, peeneks närima",B2
jaksama,"kehaliselt, organismi seisundi, tervise, jõu poolest suutma",B1
jalakäija,jalgsi liikuv isik,B1
jalg,alumine kandev või toetav osa,A1
jalgpall,"mäng, kus kahe meeskonna 11 liiget püüavad palli jalaga või peaga väravasse suunata",A1
jalutama,aeglaselt kõndima,A2
jama,"loba, mitteasjalik, mõttetu või tõele mittevastav jutt",B2
janu,vajadus juua,B1
jaoskond,"suurema ettevõtte, organisatsiooni üks allüksusi, harilikult tsehhist või osakonnast väiksem",B1
jonnakas,"selline, kes meelsasti ei allu ega kuuletu, raskesti juhitav",C1
jooks,"tegevus, mis väljendub jalgade abil korrapärases kiiresti liikumises nii, et vahepeal ükski jalg maad ei puuduta",B1
jooksma,ühes suunas liikuma,A1
jooksutama,"joosta laskma, jooksma panema",B2
jooma,mingit vedelikku suuga võtma ja alla neelama,A1
joon,ümbrusest millegi poolest erinev kitsas pinna osa,A2
joonde,"korda saama, harilikult mingi tegevuse kohta",C1
joonistama,"looma, kujundama",A2
joonistus,"joontega või heleda-tumeda vaheldusena söe, kriidi, sule, pliiatsi või pintsli abil pinnal kujutatu",B1
jootma,joogiga kostitama,B2
ju,rõhutab kergelt lauses esitatut,A1
juba,"näitab, et mingi tegevus, olukord, seisund või muu sellise on käsitletavaks momendiks alanud või lõppenud",A1
juhatama,kellelegi midagi seletuse või õpetuse abil soovitama,A2
juhatus,"üksikasjalik kava või selgitus, mis suunab teid vastavas tegevuses",A2
juhiluba,sõiduki või veoki juhtimist õigustavad dokumendid,A2
juhis,"ettekirjutis, mis lubab või keelab mingis olukorras või paigas midagi teha",B2
juhtima,masinate kohta,A2
